signal_type,window_id,split,model,model_kind,train_executed_count,train_non_executed_count,selected_params,selection_train_auc,selection_valid_auc,selection_auc_gap,split_start,split_end,split_sample_count,split_executed_count,split_non_executed_count,feature_count,feature_null_ratio_mean,feature_null_ratio_max,feature_null_feature_count,feature_all_null_count,label_ic_abs_mean,label_ic_abs_top,label_ic_top_feature,regime_ic_abs_mean,regime_ic_abs_top,regime_ic_top_feature,return_ic_abs_mean,return_ic_abs_top,return_ic_top_feature,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,direction_auc,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
donchian_breakout,0,train,mfe_mae,random_forest,10007,10577,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.6014664967752312,0.5345375014988609,0.0669289952763703,2010-01-13 10:00:00,2022-12-30 15:00:00,20584,10007,10577,438,0.883536243959488,0.981441896618733,417,0,0.041885532920517346,0.19836667571049926,generic_pa_scalp_score,0.36858110863239657,0.9186519702835669,generic_is_10d_low,0.049638325774555694,0.16785143650282097,generic_pa_trail_stop,,,,,,,,0.6014664967752312,1.793830253696764,1.3484679641072315,2.74487693772235,1.8500187909703485,0.04839524396408479,0.04359277888213253
donchian_breakout,0,valid,trade_filter,hist_gradient_boosting,10007,10577,"{""l2_regularization"": 2.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""max_iter"": 240, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}",0.6136409883123247,0.5724187777257764,0.04122221058654829,2023-01-03 09:00:00,2024-12-30 22:00:00,5383,2846,2537,438,0.8960447103472202,0.9871818688463682,417,0,0.08381455043006701,0.2419137047757174,generic_breakout_dist_atr_down_10,0.4081838363750324,0.9486484267154646,generic_supertrend_dir,0.11235628650241455,0.3434751223117583,generic_pa_overlap_ratio_10,0.5724187777257764,0.42448448820360396,0.3123767258382643,0.8039340101522843,0.4499289772727273,,,,,,,,,
donchian_breakout,0,valid,regime_classifier,random_forest,10007,10577,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2023-01-03 09:00:00,2024-12-30 22:00:00,5383,2846,2537,438,0.8960447103472202,0.9871818688463682,417,0,0.08381455043006701,0.2419137047757174,generic_breakout_dist_atr_down_10,0.4081838363750324,0.9486484267154646,generic_supertrend_dir,0.11235628650241455,0.3434751223117583,generic_pa_overlap_ratio_10,1.0,1.0,,,,1.0,1.0,,,,,,,
donchian_breakout,0,valid,mfe_mae,random_forest,10007,10577,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.6014664967752312,0.5345375014988609,0.0669289952763703,2023-01-03 09:00:00,2024-12-30 22:00:00,5383,2846,2537,438,0.8960447103472202,0.9871818688463682,417,0,0.08381455043006701,0.2419137047757174,generic_breakout_dist_atr_down_10,0.4081838363750324,0.9486484267154646,generic_supertrend_dir,0.11235628650241455,0.3434751223117583,generic_pa_overlap_ratio_10,,,,,,,,0.5345375014988609,1.8553558286813956,1.5623255743864597,2.571396113428013,2.3924568286812455,-0.00624413750555064,0.011367594688216354
donchian_breakout,0,test,trade_filter,hist_gradient_boosting,10007,10577,"{""l2_regularization"": 2.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""max_iter"": 240, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}",0.6136409883123247,0.5724187777257764,0.04122221058654829,2024-12-31 10:00:00,2025-12-30 22:00:00,2368,1208,1160,438,0.9022073229050968,0.988597972972973,417,0,0.07150828665787393,0.33059302456077183,feature_breakout_score,0.43789853893068675,0.9943555522813358,generic_supertrend_dir,0.10927479198309269,0.31693532281304604,generic_pa_pullback_type,0.5576776729940276,0.4066722972972973,0.2857142857142857,0.7765793528505393,0.4177372565271446,,,,,,,,,
donchian_breakout,0,test,regime_classifier,random_forest,10007,10577,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2024-12-31 10:00:00,2025-12-30 22:00:00,2368,1208,1160,438,0.9022073229050968,0.988597972972973,417,0,0.07150828665787393,0.33059302456077183,feature_breakout_score,0.43789853893068675,0.9943555522813358,generic_supertrend_dir,0.10927479198309269,0.31693532281304604,generic_pa_pullback_type,1.0,1.0,,,,1.0,1.0,,,,,,,
donchian_breakout,0,test,mfe_mae,random_forest,10007,10577,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.6014664967752312,0.5345375014988609,0.0669289952763703,2024-12-31 10:00:00,2025-12-30 22:00:00,2368,1208,1160,438,0.9022073229050968,0.988597972972973,417,0,0.07150828665787393,0.33059302456077183,feature_breakout_score,0.43789853893068675,0.9943555522813358,generic_supertrend_dir,0.10927479198309269,0.31693532281304604,generic_pa_pullback_type,,,,,,,,0.5297209688222696,1.8385141641017608,1.7785669835302511,2.612685963405771,2.398850973487266,-0.026155024879627176,-0.004229332518464357
tight_range_breakout,0,train,trade_filter,hist_gradient_boosting,8466,27616,"{""l2_regularization"": 2.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""max_iter"": 240, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}",0.6625310097357164,0.5792164198226823,0.08331458991303409,2010-01-05 15:00:00,2022-12-30 14:00:00,36082,8466,27616,438,0.8916271131787843,0.9976165401030985,418,0,0.05742870039330435,0.2389209198154495,generic_pa_swing_high_idx,0.10212266021957263,0.4654408826061997,generic_adx,0.04289325858965017,0.1756125227842456,generic_bb_width_zscore_252,0.6625310097357164,0.6143229311013801,0.17878258532652513,0.6111621497473587,0.2766399833662543,,,,,,,,,
tight_range_breakout,0,train,regime_classifier,random_forest,8466,27616,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2010-01-05 15:00:00,2022-12-30 14:00:00,36082,8466,27616,438,0.8916271131787843,0.9976165401030985,418,0,0.05742870039330435,0.2389209198154495,generic_pa_swing_high_idx,0.10212266021957263,0.4654408826061997,generic_adx,0.04289325858965017,0.1756125227842456,generic_bb_width_zscore_252,1.0,1.0,,,,1.0,1.0,,,,,,,
tight_range_breakout,0,train,mfe_mae,random_forest,8466,27616,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.5800505852215146,0.5057409538422197,0.07430963137929492,2010-01-05 15:00:00,2022-12-30 14:00:00,36082,8466,27616,438,0.8916271131787843,0.9976165401030985,418,0,0.05742870039330435,0.2389209198154495,generic_pa_swing_high_idx,0.10212266021957263,0.4654408826061997,generic_adx,0.04289325858965017,0.1756125227842456,generic_bb_width_zscore_252,,,,,,,,0.5800505852215146,1.5706060886784445,1.292938896867263,3.233770139969349,1.8761092950632263,0.021825859972068096,0.025113677938098822
tight_range_breakout,0,valid,trade_filter,hist_gradient_boosting,8466,27616,"{""l2_regularization"": 2.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""max_iter"": 240, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}",0.6625310097357164,0.5792164198226823,0.08331458991303409,2023-01-03 10:00:00,2024-12-26 14:00:00,1225,402,823,438,0.9005740378343118,0.9983673469387755,416,0,0.1056053143703965,0.40216463269881586,generic_pa_swing_low_idx,0.1909204713271329,0.626595450132041,generic_plus_di,0.17260185352044977,0.6041545232947676,generic_pa_bull_legs_20,0.5792164198226823,0.3248979591836735,0.19461697722567287,0.7932489451476793,0.31255195344970904,,,,,,,,,
tight_range_breakout,0,valid,regime_classifier,random_forest,8466,27616,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2023-01-03 10:00:00,2024-12-26 14:00:00,1225,402,823,438,0.9005740378343118,0.9983673469387755,416,0,0.1056053143703965,0.40216463269881586,generic_pa_swing_low_idx,0.1909204713271329,0.626595450132041,generic_plus_di,0.17260185352044977,0.6041545232947676,generic_pa_bull_legs_20,1.0,1.0,,,,1.0,1.0,,,,,,,
tight_range_breakout,0,valid,mfe_mae,random_forest,8466,27616,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.5800505852215146,0.5057409538422197,0.07430963137929492,2023-01-03 10:00:00,2024-12-26 14:00:00,1225,402,823,438,0.9005740378343118,0.9983673469387755,416,0,0.1056053143703965,0.40216463269881586,generic_pa_swing_low_idx,0.1909204713271329,0.626595450132041,generic_plus_di,0.17260185352044977,0.6041545232947676,generic_pa_bull_legs_20,,,,,,,,0.5057409538422197,1.8410926788299755,1.7721396518768187,2.4605526626925514,2.359046681265708,-0.04420782746933316,-0.01827698705513181
tight_range_breakout,0,test,trade_filter,hist_gradient_boosting,8466,27616,"{""l2_regularization"": 2.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""max_iter"": 240, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}",0.6625310097357164,0.5792164198226823,0.08331458991303409,2025-01-02 10:00:00,2025-12-30 11:00:00,755,226,529,438,0.9123317911034503,0.9973509933774835,416,0,0.18421460461766026,0.5976143046671968,generic_pa_sell_climax,0.1701386934858759,0.6520506636966263,generic_is_20d_high,0.11773296225090618,0.15445102617019393,feature_breakout_score,0.6474143558252544,0.3443708609271523,0.19112627986348124,0.8421052631578947,0.31154381084840055,,,,,,,,,
tight_range_breakout,0,test,regime_classifier,random_forest,8466,27616,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2025-01-02 10:00:00,2025-12-30 11:00:00,755,226,529,438,0.9123317911034503,0.9973509933774835,416,0,0.18421460461766026,0.5976143046671968,generic_pa_sell_climax,0.1701386934858759,0.6520506636966263,generic_is_20d_high,0.11773296225090618,0.15445102617019393,feature_breakout_score,1.0,1.0,,,,1.0,1.0,,,,,,,
tight_range_breakout,0,test,mfe_mae,random_forest,8466,27616,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.5800505852215146,0.5057409538422197,0.07430963137929492,2025-01-02 10:00:00,2025-12-30 11:00:00,755,226,529,438,0.9123317911034503,0.9973509933774835,416,0,0.18421460461766026,0.5976143046671968,generic_pa_sell_climax,0.1701386934858759,0.6520506636966263,generic_is_20d_high,0.11773296225090618,0.15445102617019393,feature_breakout_score,,,,,,,,0.5095804026194518,2.054605620879506,1.6310406853429396,3.2470228393373715,2.080182863925206,-0.06101099510920038,-0.02148192625659906
