signal_type,window_id,model,model_kind,rank,feature,importance,feature_meaning
donchian_breakout,0,mfe_mae,random_forest,7,feature_close,0.03647612973382115,信号时点收盘价
donchian_breakout,0,mfe_mae,random_forest,8,feature_low,0.03561385604187509,信号时点最低价
donchian_breakout,0,mfe_mae,random_forest,9,feature_volume,0.03479714090679161,信号时点成交量
donchian_breakout,0,mfe_mae,random_forest,10,feature_tr_range_atr,0.0337016742685143,tight range / ATR 比值
tight_range_breakout,0,trade_filter,hist_gradient_boosting,1,feature_breakout_score,0.10892229062995655,突破质量分数
tight_range_breakout,0,trade_filter,hist_gradient_boosting,2,feature_open_interest,0.056999382514256625,信号时点持仓量
tight_range_breakout,0,trade_filter,hist_gradient_boosting,3,generic_pa_bo_body_ratio_10,0.015211640211640157,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,trade_filter,hist_gradient_boosting,4,feature_trend_score,0.005686014553291356,趋势强弱分数
tight_range_breakout,0,trade_filter,hist_gradient_boosting,5,feature_turnover,0.005123769568849561,信号时点成交额
tight_range_breakout,0,trade_filter,hist_gradient_boosting,6,generic_pa_swing_low_idx,0.004810486360829591,最近 swing low 索引
tight_range_breakout,0,trade_filter,hist_gradient_boosting,7,generic_pa_swing_high_idx,0.0040412777111860825,最近 swing high 索引
tight_range_breakout,0,trade_filter,hist_gradient_boosting,8,feature_volume,0.0033742266293753285,信号时点成交量
tight_range_breakout,0,trade_filter,hist_gradient_boosting,9,feature_atr14,0.0029251116922740885,14周期 ATR 波动率
tight_range_breakout,0,trade_filter,hist_gradient_boosting,10,generic_pa_body_ratio,0.001992450934098463,实体占比
tight_range_breakout,0,regime_classifier,random_forest,1,feature_trend_score,0.9356626895998479,趋势强弱分数
tight_range_breakout,0,regime_classifier,random_forest,2,feature_trend_dir,0.05742000191379612,趋势方向编码
tight_range_breakout,0,regime_classifier,random_forest,3,generic_pa_ema_slope_20,0.0022171733667191414,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,regime_classifier,random_forest,4,generic_tsi,0.0018570059644121963,真实强度指数
tight_range_breakout,0,regime_classifier,random_forest,5,generic_trend_score,0.00032624835834251957,"综合趋势得分 [-1, 1]"
tight_range_breakout,0,regime_classifier,random_forest,6,generic_macd_dif,0.00032322201792222893,MACD 快慢线差
tight_range_breakout,0,regime_classifier,random_forest,7,generic_rsi_24,0.0003221822026432003,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,regime_classifier,random_forest,8,feature_breakout_score,0.00029454685419655395,突破质量分数
tight_range_breakout,0,regime_classifier,random_forest,9,generic_adx,0.000240699219199492,平均方向指数
tight_range_breakout,0,regime_classifier,random_forest,10,generic_pa_leg_ema_sep_10,0.00016676778908382902,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,mfe_mae,random_forest,1,feature_atr_value,0.10077366891142452,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,mfe_mae,random_forest,2,feature_don_atr20,0.08792861786116193,Donchian 宽度/ATR20
tight_range_breakout,0,mfe_mae,random_forest,3,feature_atr14,0.08735496699817648,14周期 ATR 波动率
tight_range_breakout,0,mfe_mae,random_forest,4,feature_open_interest,0.07222726156755495,信号时点持仓量
tight_range_breakout,0,mfe_mae,random_forest,5,feature_don_lower_entry,0.06545598297881346,Donchian 下轨入场价
tight_range_breakout,0,mfe_mae,random_forest,6,feature_volume,0.06232355662426175,信号时点成交量
tight_range_breakout,0,mfe_mae,random_forest,7,feature_don_lower_exit,0.05376473139439285,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,mfe_mae,random_forest,8,feature_atr_lower,0.04309178922033168,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,mfe_mae,random_forest,9,feature_turnover,0.04263150993652405,信号时点成交额
tight_range_breakout,0,mfe_mae,random_forest,10,feature_don_upper_entry,0.03191458466694375,Donchian 上轨入场价
