signal_type,window_id,split,model,model_kind,train_executed_count,train_non_executed_count,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
breakout_pullback_continuation,0,test,mfe_mae,random_forest,394,320,,,,,,,,1.796111134199695,0.745054177464119,2.2339658440740564,0.9934426056116298,-0.19414845796571134,-0.013004204628846994
donchian_breakout,0,train,trade_filter,hist_gradient_boosting,1132,925,0.9771467404494929,0.8692270296548371,0.9859154929577465,0.5137614678899083,0.6755126658624849,,,,,,,,
donchian_breakout,0,train,regime_classifier,random_forest,1132,925,,0.9985415653864852,,,,0.98825668827208,0.9985180949476276,,,,,,
donchian_breakout,0,train,mfe_mae,random_forest,1132,925,,,,,,,,1.0981490072175475,0.8013192082877716,1.8018417663235238,1.1305630183224264,0.5365513794223296,0.5681908174014414
donchian_breakout,0,valid,trade_filter,hist_gradient_boosting,1132,925,0.5344689232564925,0.7256410256410256,0.2413793103448276,0.07608695652173914,0.11570247933884298,,,,,,,,
donchian_breakout,0,valid,regime_classifier,random_forest,1132,925,,0.9846153846153847,,,,0.9404448207991517,0.9836880149243262,,,,,,
donchian_breakout,0,valid,mfe_mae,random_forest,1132,925,,,,,,,,1.664916699140853,1.0653105495372055,2.057953207411152,1.6885360030452572,-0.19518802280680014,-0.024055658424266158
donchian_breakout,0,test,trade_filter,hist_gradient_boosting,1132,925,0.5524643320363165,0.6286472148541115,0.3717948717948718,0.24166666666666667,0.29292929292929293,,,,,,,,
donchian_breakout,0,test,regime_classifier,random_forest,1132,925,,1.0,,,,1.0,1.0,,,,,,
donchian_breakout,0,test,mfe_mae,random_forest,1132,925,,,,,,,,1.81810788441645,1.6703963692241055,2.250040168624427,2.440925439629663,-0.13618061828959704,-0.02097532035298233
tight_range_breakout,0,train,trade_filter,hist_gradient_boosting,1202,3578,0.9577513279559317,0.9052301255230125,0.9865771812080537,0.24581939799331104,0.39357429718875503,,,,,,,,
tight_range_breakout,0,train,regime_classifier,random_forest,1202,3578,,0.998744769874477,,,,0.9987420081533428,0.9987446067330037,,,,,,
tight_range_breakout,0,train,mfe_mae,random_forest,1202,3578,,,,,,,,1.1723908114969295,1.485333266163604,1.6700414633052587,6.863245441711839,0.5291674064685508,0.2536803867674522
tight_range_breakout,0,valid,trade_filter,hist_gradient_boosting,1202,3578,0.667372060857538,0.8541919805589308,0.2727272727272727,0.12,0.16666666666666666,,,,,,,,
tight_range_breakout,0,valid,regime_classifier,random_forest,1202,3578,,0.9951397326852977,,,,0.9943490852581762,0.9951186190002052,,,,,,
tight_range_breakout,0,valid,mfe_mae,random_forest,1202,3578,,,,,,,,1.7283222792920776,1.273544198999241,2.1521331118637193,2.231613622324177,-0.18802892947842276,-0.9472972502881454
tight_range_breakout,0,test,trade_filter,hist_gradient_boosting,1202,3578,0.7213072122052705,0.7900763358778626,0.5263157894736842,0.17857142857142858,0.26666666666666666,,,,,,,,
tight_range_breakout,0,test,regime_classifier,random_forest,1202,3578,,0.9923664122137404,,,,0.9924232640234191,0.9923673980832723,,,,,,
tight_range_breakout,0,test,mfe_mae,random_forest,1202,3578,,,,,,,,2.39283200790465,2.196499087069336,3.2904941737261137,3.597428778580598,-0.05609777428449103,-1.9311189178913808
