symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2020-06-11,2020-06-12,47270.0,46800.0,1,47270.0,46800.0,-470.0,-0.009942881320076159,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,45906.21,45906.21,47600.0,1363.79,2480.3,-0.34,-0.99%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2020-07-02,2020-07-03,48980.0,48980.0,8,391840.0,391840.0,0.0,0.0,2,normal_breakout_with_volume_expansion,intraday_stop,48693.07,48980.0,49570.0,286.93,2479.12,0.0,0.00%
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2020-11-25,2020-12-02,54880.0,57190.0,3,164640.0,171570.0,6930.0,0.042091836734693876,6,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,53560.36,55797.14,57980.0,1319.64,4958.25,1.75,4.21%
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2021-02-22,2021-02-25,64460.0,68390.0,3,193380.0,205170.0,11790.0,0.06096804219671114,4,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,62894.86,65267.14,68880.0,1565.14,4992.9,2.51,6.10%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2021-02-26,2021-03-01,70080.0,67420.0,1,70080.0,67420.0,-2660.0,-0.03795662100456621,2,normal_breakout_with_volume_expansion,gap_down_stop_at_open,67815.36,67815.36,70440.0,2264.64,2525.93,-1.17,-3.80%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2021-04-16,2021-04-21,68130.0,69270.0,1,68130.0,69270.0,1140.0,0.01673271686481726,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,66577.86,68130.0,69820.0,1552.14,2519.28,0.73,1.67%
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2021-04-27,2021-04-29,71150.0,71820.0,2,142300.0,143640.0,1340.0,0.009416725228390724,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,69439.07,70092.86,72820.0,1710.93,5044.25,0.39,0.94%
CU0,SHFE,CU0.SHFE,GOOD_SETUP,2021-05-11,2021-05-11,77400.0,75355.36,2,154800.0,150710.71,-4089.29,-0.026416574381690632,1,good_breakout_with_volume_expansion,same_day_initial_stop,75355.36,75355.36,77430.0,2044.64,5050.95,-1.0,-2.64%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2021-09-14,2021-09-14,71480.0,70279.57,2,142960.0,140559.14,-2400.86,-0.01679390838596202,1,normal_breakout_with_volume_expansion,same_day_initial_stop,70279.57,70279.57,71480.0,1200.43,2515.25,-1.0,-1.68%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2021-10-19,2021-10-20,75510.0,75490.0,2,151020.0,150980.0,-40.0,-0.00026486558071778574,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,74328.21,74328.21,76170.0,1181.79,2509.25,-0.02,-0.03%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2022-11-10,2022-11-15,66200.0,66670.0,5,331000.0,333350.0,2350.0,0.007099697885196375,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,65700.21,66200.0,68420.0,499.79,2509.15,0.94,0.71%
CU0,SHFE,CU0.SHFE,NORMAL_SETUP,2023-01-19,2023-01-20,70910.0,69550.0,1,70910.0,69550.0,-1360.0,-0.01917924129177831,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,68796.79,68796.79,71500.0,2113.21,2515.02,-0.64,-1.92%
