entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
6149,6202,long,1,3344.0,3350.0,6.0,26.694000000000003,-20.694000000000003
6224,6368,short,1,3268.0,3088.0,180.0,26.356,153.644
6500,6594,long,1,3098.0,3136.0,38.0,26.234,11.765999999999998
6710,6922,short,1,3032.0,2577.0,455.0,25.609,429.391
7082,7128,short,1,2469.0,2462.0,7.0,24.931,-17.931
7133,7173,long,1,2559.0,2517.0,-42.0,25.076,-67.076
7366,7485,short,1,2469.0,2491.0,-22.0,24.96,-46.96
7487,7521,long,1,2512.0,2485.0,-27.0,24.997,-51.997
7610,7639,long,1,2514.0,2512.0,-2.0,25.026,-27.026
7785,7807,long,1,2522.0,2486.0,-36.0,25.008000000000003,-61.008
7929,7993,short,1,2341.0,2281.0,60.0,24.622,35.378
8102,8124,long,1,2409.0,2373.0,-36.0,24.782000000000004,-60.782000000000004
8221,8513,short,1,2379.0,2256.0,123.0,24.634999999999998,98.36500000000001
8623,8668,short,1,2031.0,2053.0,-22.0,24.084000000000003,-46.084
8731,8758,long,1,2054.0,2027.0,-27.0,24.081000000000003,-51.081
8889,9050,short,1,2047.0,1990.0,57.0,24.037,32.963
9205,9246,short,1,1901.0,1909.0,-8.0,23.810000000000002,-31.810000000000002
9257,9302,short,1,1870.0,1853.0,17.0,23.723,-6.722999999999999
9368,9432,short,1,1807.0,1811.0,-4.0,23.618000000000002,-27.618000000000002
9486,9521,short,1,1776.0,1796.0,-20.0,23.572,-43.572
9563,9715,short,1,1762.0,1666.0,96.0,23.428,72.572
