entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
17931,17943,short,1,3877.0,3909.0,-32.0,27.786,-59.786
17959,17998,short,1,3839.0,3727.0,112.0,27.566000000000003,84.434
18007,18021,short,1,3652.0,3678.0,-26.0,27.330000000000002,-53.33
18029,18039,long,1,3693.0,3670.0,-23.0,27.363,-50.363
18077,18087,short,1,3673.0,3695.0,-22.0,27.368000000000002,-49.368
18089,18129,short,1,3425.0,3318.0,107.0,26.743000000000002,80.257
18153,18186,long,1,3387.0,3420.0,33.0,26.807000000000002,6.192999999999998
18193,18196,short,1,3411.0,3440.0,-29.0,26.851,-55.851
18201,18215,long,1,3497.0,3476.0,-21.0,26.973,-47.973
18228,18230,long,1,3541.0,3476.0,-65.0,27.017,-92.017
18235,18243,long,1,3565.0,3523.0,-42.0,27.088,-69.088
18257,18278,short,1,3467.0,3444.0,23.0,26.911,-3.9110000000000014
18280,18296,long,1,3473.0,3489.0,16.0,26.962000000000003,-10.962000000000003
18312,18320,short,1,3416.0,3461.0,-45.0,26.877000000000002,-71.87700000000001
18373,18399,short,1,3352.0,3326.0,26.0,26.678,-0.6780000000000008
18407,18408,short,1,3257.0,3310.0,-53.0,26.567,-79.56700000000001
18515,18533,long,1,3418.0,3435.0,17.0,26.853,-9.853000000000002
18545,18558,short,1,3354.0,3421.0,-67.0,26.775,-93.775
18559,18621,long,1,3430.0,3642.0,212.0,27.072,184.928
18638,18644,long,1,3713.0,3643.0,-70.0,27.356,-97.356
18653,18669,short,1,3597.0,3613.0,-16.0,27.21,-43.21
18710,18726,short,1,3446.0,3477.0,-31.0,26.923000000000002,-57.923
18728,18754,long,1,3504.0,3524.0,20.0,27.028,-7.027999999999999
18782,18791,short,1,3460.0,3499.0,-39.0,26.959000000000003,-65.959
18810,18827,long,1,3531.0,3520.0,-11.0,27.051000000000002,-38.051
18840,18847,short,1,3485.0,3519.0,-34.0,27.003999999999998,-61.004
