date,equity
2023-04-14,996924.6731291526
2023-04-17,996924.6731291526
2023-04-18,996924.6731291526
2023-04-19,996924.6731291526
2023-04-20,996924.6731291526
2023-04-21,996924.6731291526
2023-04-24,996924.6731291526
2023-04-25,996924.6731291526
2023-04-26,996924.6731291526
2023-04-27,996924.6731291526
2023-04-28,996924.6731291526
2023-05-04,996924.6731291526
2023-05-05,996924.6731291526
2023-05-08,996924.6731291526
2023-05-09,996924.6731291526
2023-05-10,996924.6731291526
2023-05-11,996924.6731291526
2023-05-12,996924.6731291526
2023-05-15,996924.6731291526
2023-05-16,996924.6731291526
2023-05-17,996924.6731291526
2023-05-18,996924.6731291526
2023-05-19,996924.6731291526
2023-05-22,996924.6731291526
2023-05-23,996924.6731291526
2023-05-24,996924.6731291526
2023-05-25,996924.6731291526
2023-05-26,996924.6731291526
2023-05-29,996924.6731291526
2023-05-30,996924.6731291526
2023-05-31,996924.6731291526
2023-06-01,996924.6731291526
2023-06-02,996924.6731291526
2023-06-05,996924.6731291526
2023-06-06,996924.6731291526
2023-06-07,996924.6731291526
2023-06-08,999684.6731291526
2023-06-09,1001484.6731291526
2023-06-12,1001484.6731291526
2023-06-13,999787.7882309798
2023-06-14,999787.7882309798
2023-06-15,999787.7882309798
2023-06-16,999787.7882309798
2023-06-19,999787.7882309798
2023-06-20,999337.000206693
2023-06-21,999317.5342847789
2023-06-26,1001712.670858779
2023-06-27,1001476.684424936
2023-06-28,1001476.684424936
2023-06-29,1001628.2361703605
2023-06-30,1001628.2361703605
2023-07-03,1002224.8102228944
2023-07-04,1001870.7512439555
2023-07-05,1001870.7512439555
2023-07-06,1001870.7512439555
2023-07-07,1002343.6305051188
2023-07-10,1001669.3557074025
2023-07-11,1001669.3557074025
2023-07-12,1001669.3557074025
2023-07-13,1001669.3557074025
2023-07-14,1001669.3557074025
2023-07-17,1001669.3557074025
2023-07-18,1001669.3557074025
2023-07-19,1001296.1830454782
2023-07-20,1000410.9307340183
2023-07-21,1000410.9307340183
2023-07-24,1001345.426663735
2023-07-25,1000543.6699476317
2023-07-26,999837.7535193213
2023-07-27,999064.6748604232
2023-07-28,999064.6748604232
2023-07-31,999484.5443527694
2023-08-01,999350.3795907206
2023-08-02,997413.5949272325
2023-08-03,997413.5949272325
2023-08-04,996163.0639334294
2023-08-07,996163.0639334294
2023-08-08,996163.0639334294
2023-08-09,996163.0639334294
2023-08-10,996163.0639334294
2023-08-11,996163.0639334294
2023-08-14,996163.0639334294
2023-08-15,996163.0639334294
2023-08-16,996163.0639334294
2023-08-17,996163.0639334294
2023-08-18,996163.0639334294
2023-08-21,996163.0639334294
2023-08-22,996163.0639334294
2023-08-23,996163.0639334294
2023-08-24,996163.0639334294
