datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2022-02-25,OI0,CZCE,OI0.CZCE,13001.0,5,NORMAL_SETUP,13323.0,13323.0,13896.0,-1825.61,-1610.0,996564.39,-0.0016129489013581647,-0.16%,0,-0.0016129446078054777,-0.16%
2022-02-28,OI0,CZCE,OI0.CZCE,12760.0,0,,,,,-4540.61,0.0,995459.39,-0.002719969889945139,-0.27%,0,-0.0011088094367891488,-0.11%
2022-03-01,OI0,CZCE,OI0.CZCE,13091.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-02,OI0,CZCE,OI0.CZCE,13138.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-03,OI0,CZCE,OI0.CZCE,13443.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-04,OI0,CZCE,OI0.CZCE,13031.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-07,OI0,CZCE,OI0.CZCE,13298.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-08,OI0,CZCE,OI0.CZCE,13389.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-09,OI0,CZCE,OI0.CZCE,13590.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-10,OI0,CZCE,OI0.CZCE,13068.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-11,OI0,CZCE,OI0.CZCE,12922.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-14,OI0,CZCE,OI0.CZCE,12670.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-15,OI0,CZCE,OI0.CZCE,12392.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-16,OI0,CZCE,OI0.CZCE,12696.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-17,OI0,CZCE,OI0.CZCE,12381.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-18,OI0,CZCE,OI0.CZCE,12722.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-21,OI0,CZCE,OI0.CZCE,12672.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-22,OI0,CZCE,OI0.CZCE,12619.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-23,OI0,CZCE,OI0.CZCE,12621.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-24,OI0,CZCE,OI0.CZCE,12872.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-25,OI0,CZCE,OI0.CZCE,12890.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-28,OI0,CZCE,OI0.CZCE,12726.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-29,OI0,CZCE,OI0.CZCE,12599.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-30,OI0,CZCE,OI0.CZCE,12484.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-03-31,OI0,CZCE,OI0.CZCE,12605.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-01,OI0,CZCE,OI0.CZCE,12446.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-06,OI0,CZCE,OI0.CZCE,12936.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-07,OI0,CZCE,OI0.CZCE,12748.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-08,OI0,CZCE,OI0.CZCE,12630.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-11,OI0,CZCE,OI0.CZCE,12529.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-12,OI0,CZCE,OI0.CZCE,12878.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-13,OI0,CZCE,OI0.CZCE,12915.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-14,OI0,CZCE,OI0.CZCE,13132.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-15,OI0,CZCE,OI0.CZCE,13393.0,0,,,,,-4540.61,0.0,995459.39,-4.30526287589563e-09,-0.00%,0,0.0,0.00%
2022-04-18,OI0,CZCE,OI0.CZCE,13308.0,7,NORMAL_SETUP,13410.0,13093.72,13672.0,-4540.61,-714.0,994745.39,-0.0007172610885857998,-0.07%,0,-0.000717256783322906,-0.07%
2022-04-19,OI0,CZCE,OI0.CZCE,13411.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-04-20,OI0,CZCE,OI0.CZCE,13353.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-04-21,OI0,CZCE,OI0.CZCE,13456.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-04-22,OI0,CZCE,OI0.CZCE,13468.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-04-25,OI0,CZCE,OI0.CZCE,13410.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-04-26,OI0,CZCE,OI0.CZCE,13617.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-04-27,OI0,CZCE,OI0.CZCE,13740.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-04-28,OI0,CZCE,OI0.CZCE,13946.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-04-29,OI0,CZCE,OI0.CZCE,13993.0,0,,,,,-5254.61,0.0,994745.39,-0.0007172610885857998,-0.07%,0,0.0,0.00%
2022-05-05,OI0,CZCE,OI0.CZCE,13632.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-06,OI0,CZCE,OI0.CZCE,13539.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-09,OI0,CZCE,OI0.CZCE,13515.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-10,OI0,CZCE,OI0.CZCE,13497.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-11,OI0,CZCE,OI0.CZCE,13452.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-12,OI0,CZCE,OI0.CZCE,13408.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-13,OI0,CZCE,OI0.CZCE,13669.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-16,OI0,CZCE,OI0.CZCE,13531.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-17,OI0,CZCE,OI0.CZCE,13385.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-18,OI0,CZCE,OI0.CZCE,13370.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-19,OI0,CZCE,OI0.CZCE,13467.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-20,OI0,CZCE,OI0.CZCE,13520.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-23,OI0,CZCE,OI0.CZCE,13496.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-24,OI0,CZCE,OI0.CZCE,13540.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-25,OI0,CZCE,OI0.CZCE,13628.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-26,OI0,CZCE,OI0.CZCE,13639.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-27,OI0,CZCE,OI0.CZCE,13948.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-30,OI0,CZCE,OI0.CZCE,13985.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-05-31,OI0,CZCE,OI0.CZCE,14088.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-06-01,OI0,CZCE,OI0.CZCE,14056.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-06-02,OI0,CZCE,OI0.CZCE,14133.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
2022-06-06,OI0,CZCE,OI0.CZCE,14092.0,0,,,,,-5254.61,0.0,994745.39,-4.308353071361013e-09,-0.00%,0,0.0,0.00%
