signal_type,window_id,model,model_kind,rank,feature,importance,feature_meaning
donchian_breakout,0,regime_classifier,random_forest,5,generic_stoch_d,0.11445220560103352,KDJ-D 值
donchian_breakout,0,regime_classifier,random_forest,6,generic_macd_dea,0.08135206945661787,MACD 信号线
donchian_breakout,0,regime_classifier,random_forest,7,generic_mfi_14,0.07708349549188084,资金流量指数
donchian_breakout,0,regime_classifier,random_forest,8,generic_trend_score,0.06387702768191615,"综合趋势得分 [-1, 1]"
donchian_breakout,0,regime_classifier,random_forest,9,feature_trend_dir,0.054495429925563506,趋势方向编码
donchian_breakout,0,regime_classifier,random_forest,10,generic_setup_quality_score,0.035481194683403036,"形态质量分 [0, 1]"
donchian_breakout,0,mfe_mae,random_forest,1,feature_volume,0.14459763973572368,信号时点成交量
donchian_breakout,0,mfe_mae,random_forest,2,generic_context_score,0.09080730400427828,"大环境配合分 [0, 1]"
donchian_breakout,0,mfe_mae,random_forest,3,feature_don_atr20,0.08237019675054948,Donchian 宽度/ATR20
donchian_breakout,0,mfe_mae,random_forest,4,generic_mfi_14,0.07856253418578768,资金流量指数
donchian_breakout,0,mfe_mae,random_forest,5,feature_trend_score,0.06833285728175362,趋势强弱分数
donchian_breakout,0,mfe_mae,random_forest,6,generic_atr_14,0.060614935407303006,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,mfe_mae,random_forest,7,feature_atr_value,0.06059893055150686,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,mfe_mae,random_forest,8,feature_atr14,0.06006069238528002,14周期 ATR 波动率
donchian_breakout,0,mfe_mae,random_forest,9,feature_low,0.03826633382382719,信号时点最低价
donchian_breakout,0,mfe_mae,random_forest,10,generic_bb_width,0.032063901344267745,布林带宽度
tight_range_breakout,0,trade_filter,hist_gradient_boosting,1,feature_atr14,0.0,14周期 ATR 波动率
tight_range_breakout,0,trade_filter,hist_gradient_boosting,2,feature_atr_lower,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,trade_filter,hist_gradient_boosting,3,feature_atr_ma,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,trade_filter,hist_gradient_boosting,4,feature_atr_upper,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,trade_filter,hist_gradient_boosting,5,feature_atr_value,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,trade_filter,hist_gradient_boosting,6,feature_bp_confirmed,0.0,突破回踩确认标记
tight_range_breakout,0,trade_filter,hist_gradient_boosting,7,feature_breakout_score,0.0,突破质量分数
tight_range_breakout,0,trade_filter,hist_gradient_boosting,8,feature_close,0.0,信号时点收盘价
tight_range_breakout,0,trade_filter,hist_gradient_boosting,9,feature_don_atr20,0.0,Donchian 宽度/ATR20
tight_range_breakout,0,trade_filter,hist_gradient_boosting,10,feature_don_lower_entry,0.0,Donchian 下轨入场价
tight_range_breakout,0,regime_classifier,random_forest,1,generic_macd_dea,0.08118081180811809,MACD 信号线
tight_range_breakout,0,regime_classifier,random_forest,2,generic_rsi_14,0.08118081180811809,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,regime_classifier,random_forest,3,generic_sma_20,0.06273062730627307,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,regime_classifier,random_forest,4,feature_don_upper_entry,0.059040590405904064,Donchian 上轨入场价
tight_range_breakout,0,regime_classifier,random_forest,5,feature_high,0.059040590405904064,信号时点最高价
tight_range_breakout,0,regime_classifier,random_forest,6,feature_trend_score,0.059040590405904064,趋势强弱分数
tight_range_breakout,0,regime_classifier,random_forest,7,generic_macd_dif,0.05166051660516606,MACD 快慢线差
tight_range_breakout,0,regime_classifier,random_forest,8,feature_atr_ma,0.04428044280442805,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,regime_classifier,random_forest,9,feature_atr_lower,0.03321033210332104,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,regime_classifier,random_forest,10,feature_low,0.03321033210332104,信号时点最低价
tight_range_breakout,0,mfe_mae,dummy,1,feature_atr14,0.0,14周期 ATR 波动率
tight_range_breakout,0,mfe_mae,dummy,2,feature_atr_lower,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,mfe_mae,dummy,3,feature_atr_ma,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,mfe_mae,dummy,4,feature_atr_upper,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,mfe_mae,dummy,5,feature_atr_value,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
tight_range_breakout,0,mfe_mae,dummy,6,feature_bp_confirmed,0.0,突破回踩确认标记
tight_range_breakout,0,mfe_mae,dummy,7,feature_breakout_score,0.0,突破质量分数
tight_range_breakout,0,mfe_mae,dummy,8,feature_close,0.0,信号时点收盘价
tight_range_breakout,0,mfe_mae,dummy,9,feature_don_atr20,0.0,Donchian 宽度/ATR20
tight_range_breakout,0,mfe_mae,dummy,10,feature_don_lower_entry,0.0,Donchian 下轨入场价
