strategy,vt_symbol,start,end,capital,size,rate,slippage,start_date,end_date,total_days,profit_days,loss_days,end_balance,max_drawdown,max_ddpercent,max_drawdown_duration,total_net_pnl,daily_net_pnl,total_commission,daily_commission,total_slippage,daily_slippage,total_turnover,daily_turnover,total_trade_count,daily_trade_count,total_return,annual_return,daily_return,return_std,sharpe_ratio,ewm_sharpe,return_drawdown_ratio,rgr_ratio,round_trip_count,round_trip_win_rate,round_trip_profit_factor,round_trip_avg_return_pct
breakout_pullback,CU0.SHFE,2018-01-01,2024-12-31,1000000.0,5,0.0001,10.0,2018-01-02,2024-12-31,1698,33,21,1019874.745,-21307.66499999992,-2.049480358435389,630,19874.745000000003,11.704796819787987,375.255,0.2209982332155477,600.0,0.35335689045936397,3752550.0,2209.9823321554773,12,0.007067137809187279,1.9874745000000082,0.28091512367491284,0.001159000043354218,0.0697082517609107,0.2575756960057159,0.005317950040337943,0.9697455707832608,0.030637341167226072,6,0.8333333333333334,3.4178213052023056,0.012877191189611543
breakout_pullback,AL0.SHFE,2018-01-01,2024-12-31,1000000.0,5,0.0001,1.0,2018-01-02,2024-12-31,1698,17,14,989068.3525,-24561.719999999972,-2.436110351105949,303,-10931.647500000003,-6.437954946996468,136.6475,0.08047555948174323,70.0,0.04122497055359246,1366475.0,804.7555948174323,14,0.008244994110718492,-1.0931647499999975,-0.15451091872791484,-0.0006473402242319904,0.03455152433091812,-0.2902491807618669,0.792422064275138,-0.4487336747712274,-0.006120588057884113,7,0.42857142857142855,0.4860789762994941,-0.00984746484076926
breakout_pullback,M0.DCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1698,11,25,999012.918,-2594.643999999971,-0.2591671006072092,583,-987.0819999999999,-0.5813203769140164,47.082,0.02772791519434629,140.0,0.08244994110718493,470820.0,277.2791519434629,14,0.008244994110718492,-0.09870820000000835,-0.013951689045937576,-5.8160747129335116e-05,0.006176115095217072,-0.1458882171475975,-0.1459174923940635,-0.38086701502136033,-0.011760901984071039,7,0.2857142857142857,0.5771063452770516,-0.0030995654877034704
breakout_pullback,P0.DCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,2.0,2018-01-02,2024-12-31,1698,39,36,1009664.872,-6282.064000000013,-0.6250302948062767,289,9664.872000000001,5.691915194346291,135.12800000000001,0.0795806831566549,360.0,0.21201413427561838,1351280.0,795.8068315665489,18,0.01060070671378092,0.966487199999988,0.13660596466430924,0.0005664585330443077,0.027440403456390677,0.3198035288780344,0.8653587950006032,1.5463045680042489,0.06540965566310016,9,0.5555555555555556,2.338883806342612,0.015398682745812473
breakout_pullback,TA0.CZCE,2018-01-01,2024-12-31,1000000.0,5,0.0001,2.0,2018-01-02,2024-12-31,1697,3,8,998999.848,-1400.8059999999823,-0.14007026309472237,764,-1000.1519999999999,-0.5893647613435474,20.152,0.01187507365939894,80.0,0.04714201532115498,201520.0,118.75073659398939,8,0.004714201532115498,-0.10001520000000319,-0.01414475427224559,-5.8965968517802e-05,0.0027079513578671956,-0.33733872419674094,0.09358623928361028,-0.7140359259007604,-0.01928387048754086,4,0.25,0.23879022572528458,-0.010670553405769174
breakout_pullback,MA0.CZCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1696,15,14,1003257.645,-3102.8310000000056,-0.3085243642660865,1172,3257.645,1.9207812499999999,32.355000000000004,0.01907724056603774,110.0,0.06485849056603774,323550.0,190.77240566037736,11,0.006485849056603774,0.325764499999992,0.04609874999999887,0.00019176594163292088,0.012070990154561654,0.24611280062503105,0.43929046530671817,1.0558793331441299,0.01873622099564468,5,0.4,2.5232970195578868,0.017009276503965123
high2_bull,RB0.SHFE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1698,52,84,989417.81,-13874.376999999979,-1.382884984033069,1279,-10582.189999999999,-6.2321495877502935,242.19,0.14263250883392226,560.0,0.3297997644287397,2421900.0,1426.3250883392227,56,0.03297997644287397,-1.0582189999999936,-0.14957159010600618,-0.0006265358976425584,0.019516875018873545,-0.4973261539102272,-1.367987393639687,-0.7652256060469945,-0.05043244902733832,28,0.14285714285714285,0.4650591093510355,-0.00897206413660016
high2_bull,I0.DCE,2018-01-01,2024-12-31,1000000.0,100,0.0001,0.5,2018-01-02,2024-12-31,1698,109,104,992590.665,-33623.55000000005,-3.288551212571933,526,-7409.335000000001,-4.363565959952886,559.335,0.32940812720848056,3300.0,1.9434628975265018,5593350.0,3294.0812720848057,66,0.038869257950530034,-0.7409334999999961,-0.10472558303886871,-0.00043798118180305763,0.08366214920618797,-0.0811020916469605,-0.5779904423657164,-0.22530696714329765,-0.01494143390406835,33,0.3333333333333333,0.8826069986292621,0.001410364198450771
high2_bull,CU0.SHFE,2018-01-01,2024-12-31,1000000.0,5,0.0001,10.0,2018-01-02,2024-12-31,1698,81,87,978055.04,-74114.97999999986,-7.050260254936383,1050,-21944.960000000006,-12.92400471142521,2144.96,1.2632273262661955,3300.0,1.9434628975265018,21449600.0,12632.273262661955,66,0.038869257950530034,-2.1944960000000013,-0.3101761130742052,-0.0013067922504277928,0.11247938812862084,-0.1799862075022051,-0.4287179751893909,-0.3112645378535467,-0.031853006590723904,33,0.3333333333333333,0.7627722307120741,-0.0009001436286414057
high2_bull,AL0.SHFE,2018-01-01,2024-12-31,1000000.0,5,0.0001,1.0,2018-01-02,2024-12-31,1698,111,96,1032388.2125,-8282.607500000042,-0.8188896288954851,131,32388.212499999998,19.074330094228504,506.7875,0.29846142520612484,280.0,0.16489988221436985,5067875.0,2984.6142520612484,56,0.03297997644287397,3.2388212500000124,0.45778392226148584,0.0018771950074459548,0.042854740710119334,0.6786035692620711,0.173617430814275,3.9551377080798065,0.4010804713374153,28,0.42857142857142855,2.987824592877008,0.013134462772720174
high2_bull,M0.DCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1698,69,62,1005392.812,-4721.226999999955,-0.46931474202833634,498,5392.812,3.175978798586572,127.188,0.07490459363957597,360.0,0.21201413427561838,1271880.0,749.0459363957597,36,0.02120141342756184,0.5392811999999969,0.0762234911660773,0.00031674457346909213,0.012958738613259664,0.37866230492283615,0.7711565782077447,1.1490821653487207,0.11477820814759236,18,0.3888888888888889,1.7828191267684266,0.010426694399274291
high2_bull,P0.DCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,2.0,2018-01-02,2024-12-31,1698,110,108,1000209.212,-24104.618000000017,-2.3877222933115374,1254,209.21200000000135,0.12321083627797488,470.788,0.2772603062426384,1240.0,0.7302709069493521,4707880.0,2772.603062426384,62,0.03651354534746761,0.02092120000001252,0.0029570600706731475,1.2319794948186552e-05,0.049169869869902606,0.0038815934058205226,1.3500193249926304,0.0087619904787993,0.001182391495686088,31,0.3548387096774194,1.0063565562202417,0.0014329038492459064
high2_bull,TA0.CZCE,2018-01-01,2024-12-31,1000000.0,5,0.0001,2.0,2018-01-02,2024-12-31,1697,35,50,997803.668,-5605.159999999916,-0.5595500386962895,453,-2196.332,-1.294243959929287,96.33200000000001,0.05676605774896877,360.0,0.2121390689451974,963320.0,567.6605774896877,36,0.02121390689451974,-0.2196332000000023,-0.03106185503830321,-0.00012956673391660944,0.011983151652583375,-0.1675051162599061,-0.6223699607938354,-0.3925175316075959,-0.023917812796408217,18,0.2777777777777778,0.7166046628776226,-0.003892217109352077
high2_bull,MA0.CZCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1696,60,64,1000603.54,-4266.552999999956,-0.4249606343331106,946,603.5399999999997,0.35586084905660365,116.46000000000001,0.06866745283018869,450.0,0.2653301886792453,1164600.0,686.6745283018868,45,0.02653301886792453,0.0603539999999958,0.008540660377357895,3.5575350411680084e-05,0.014453890769275125,0.03813028391575151,0.6012834911713687,0.1420225666189273,0.00471446586801001,22,0.36363636363636365,0.993145481001964,-0.00017821003963492071
