datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2017-01-05,CU0,SHFE,CU0.SHFE,45760.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-06,CU0,SHFE,CU0.SHFE,45350.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-09,CU0,SHFE,CU0.SHFE,45730.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-10,CU0,SHFE,CU0.SHFE,46110.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-11,CU0,SHFE,CU0.SHFE,47160.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-12,CU0,SHFE,CU0.SHFE,46980.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-13,CU0,SHFE,CU0.SHFE,47400.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-16,CU0,SHFE,CU0.SHFE,47950.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-17,CU0,SHFE,CU0.SHFE,46780.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-18,CU0,SHFE,CU0.SHFE,46600.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-19,CU0,SHFE,CU0.SHFE,46730.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-20,CU0,SHFE,CU0.SHFE,46080.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-23,CU0,SHFE,CU0.SHFE,46850.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-24,CU0,SHFE,CU0.SHFE,47070.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-25,CU0,SHFE,CU0.SHFE,47650.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-01-26,CU0,SHFE,CU0.SHFE,48040.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-02-03,CU0,SHFE,CU0.SHFE,46780.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-02-06,CU0,SHFE,CU0.SHFE,46600.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-02-07,CU0,SHFE,CU0.SHFE,46850.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-02-08,CU0,SHFE,CU0.SHFE,47660.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
2017-02-09,CU0,SHFE,CU0.SHFE,47590.0,0,,,,,-10054.64,0.0,989945.36,-2.8861621479212332e-09,-0.00%,0,0.0,0.00%
